,Price,Levy,Manufacturer,Model,Age Of Car,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags
811,14426,530.0,NISSAN,Juke,7,4,1,5,1.6,110531,4,0,0,4-5,0,11,0
812,15681,642.0,FORD,Focus,8,3,0,5,2,192000,4,2,1,4-5,0,14,8
813,11917,906.8381278879118,BMW,320,17,9,0,5,2,136950,4,2,2,4-5,0,11,6
814,25669,502.0,TOYOTA,Aqua,7,3,1,5,1.5,105000,4,0,1,4-5,0,1,4
817,9565,924.0,HONDA,Hr-v,3,4,1,5,1.8,94339,4,0,0,4-5,0,14,12
819,14740,474.0,CHEVROLET,Cruze,7,9,0,5,1.4,78000,4,2,1,4-5,0,13,6
820,7997,308.0,TOYOTA,Prius 2014,6,9,1,2,1.8,0,12,2,1,4-5,0,1,12
821,16308,906.8381278879118,DODGE,Dart Limited,7,9,1,5,1.4 Turbo,180000,4,1,1,4-5,0,1,12
822,37580,765.0,HYUNDAI,Santa FE,5,4,1,1,2,95200,4,0,1,4-5,0,7,4
823,31361,906.8381278879118,MERCEDES-BENZ,S 350,13,9,1,5,3.5,165000,6,0,2,4-5,0,1,0
824,6429,761.0,TOYOTA,Prius,10,3,1,2,1.8,396350,4,0,1,4-5,0,1,12
825,42369,765.0,HYUNDAI,Sonata,5,9,1,5,2,60304,4,0,1,4-5,0,1,4
826,15681,891.0,HYUNDAI,Sonata,4,9,1,4,2,195432,4,0,1,4-5,0,12,4
827,16308,906.8381278879118,VOLKSWAGEN,Jetta,7,9,0,5,2,94400,4,2,1,4-5,0,1,8
828,3293,1091.0,MAZDA,CX-9,4,9,1,5,2.5,154862,4,0,0,4-5,0,11,12
829,30000,906.8381278879118,NISSAN,X-Trail,2,8,1,5,2.5,18794,12,0,0,>5,0,1,12
830,5331,906.8381278879118,VOLKSWAGEN,Golf,20,9,0,5,1.6,197457,4,1,1,4-5,0,14,4
831,3293,1307.0,CHRYSLER,200,5,9,1,5,3.6,132502,6,0,2,4-5,0,1,12
832,31913,640.0,HYUNDAI,Santa FE,7,4,1,1,2,80758,4,0,1,4-5,0,12,4
833,2587,830.0,HONDA,Accord,1,1,1,5,1.5,16666,4,0,1,4-5,0,1,12
834,19757,906.8381278879118,TOYOTA,Prius,9,9,1,5,1.8,268800,4,0,1,4-5,0,1,8
835,15681,781.0,VOLKSWAGEN,Passat,8,9,1,5,2.5,154000,5,2,1,4-5,0,12,10
836,12858,1363.0,LEXUS,GX 460,8,4,1,5,4.6,255406,8,0,0,4-5,0,1,0
837,4861,1324.0,TOYOTA,Highlander,10,9,1,2,3.3,264877,6,0,0,4-5,0,14,12
838,5900,906.8381278879118,NISSAN,March,18,9,0,5,1.2,0,4,0,1,4-5,0,5,0
839,57030,831.0,TOYOTA,Aqua,2,3,1,5,1.5,5000,4,0,1,4-5,0,6,4
840,14009,503.0,TOYOTA,Aqua,8,3,1,2,1.5,120570,4,0,1,4-5,0,2,4
841,14113,639.0,CHEVROLET,Cruze,6,9,1,1,2.0 Turbo,164800,4,2,1,4-5,0,1,10
842,35269,770.0,HYUNDAI,Tucson,4,4,1,1,1.7,140000,4,0,1,4-5,0,14,4
843,50297,696.0,JAGUAR,XF,7,9,1,1,2.2,74438,4,0,1,4-5,0,14,4
844,19369,781.0,HYUNDAI,H1,8,10,1,1,2.5,205425,4,0,1,4-5,0,15,4
845,2195,1079.0,TOYOTA,CHR,2,4,1,5,2,22816,4,0,1,4-5,0,7,12
846,12544,473.0,CHEVROLET,Cruze,6,9,0,5,1.4,88886,4,0,1,4-5,0,1,0
847,4800,906.8381278879118,MERCEDES-BENZ,C 180,26,9,0,5,1.8,0,4,0,2,4-5,0,1,4
848,14740,474.0,CHEVROLET,Cruze,7,9,0,5,1.4 Turbo,80000,4,0,1,4-5,0,12,8
849,48575,1017.0,HYUNDAI,Sonata,3,9,1,5,2,64652,4,0,1,4-5,0,1,4
850,9418,765.0,HYUNDAI,Sonata,5,9,1,5,2,676825,4,0,1,4-5,0,14,4
851,15367,707.0,HYUNDAI,Tucson,9,4,1,1,2,73326,4,0,1,4-5,0,12,4
852,7056,645.0,TOYOTA,Prius,9,3,0,2,1.8,255000,4,3,1,2-3,0,14,12
853,17249,906.8381278879118,TOYOTA,Prius,12,3,1,2,1.5,243200,4,3,1,4-5,0,14,8
854,9300,906.8381278879118,AUDI,A4,16,9,1,5,1.8 Turbo,259200,4,2,0,4-5,0,7,6
855,68994,1017.0,LEXUS,IS 200,3,9,1,5,2.0 Turbo,35200,4,2,2,4-5,0,14,6
856,21953,906.8381278879118,MERCEDES-BENZ,ML 350,14,4,1,4,3.5,240000,6,2,0,4-5,0,7,12
857,52696,891.0,HYUNDAI,Sonata,4,9,1,5,2,48042,4,0,1,4-5,0,14,4
858,2901,645.0,TOYOTA,Corolla,9,9,1,5,1.8,239907,4,0,1,4-5,0,7,12
859,3763,640.0,FORD,Fusion,7,9,1,2,2,320554,4,0,1,4-5,0,14,0
860,12544,906.8381278879118,BMW,325,15,9,1,5,2.5,162000,6,2,2,4-5,1,14,12
861,18817,1018.0,BMW,330,9,9,1,5,3,70000,6,2,2,4-5,0,14,12
862,47042,906.8381278879118,MERCEDES-BENZ,E 350,9,9,1,1,3.0 Turbo,80000,6,2,2,4-5,0,1,12
863,15367,761.0,TOYOTA,Prius,10,9,1,2,1.8,147000,4,0,1,4-5,0,1,10
864,20665,640.0,FORD,Fusion TITANIUM,7,9,1,5,2.0 Turbo,135000,4,2,1,4-5,0,12,0
865,16935,781.0,CHEVROLET,Cruze,2,9,0,5,1.4 Turbo,15333,4,0,1,4-5,0,14,8
866,4180,790.0,DAEWOO,Lacetti,11,9,1,5,1.6,159634,4,0,1,4-5,0,12,4
867,14426,906.8381278879118,FORD,Transit,21,6,0,1,2.5,123000,4,1,2,4-5,0,14,4
868,4704,906.8381278879118,LAND ROVER,Freelander,16,4,1,5,2.5,458495,4,0,0,4-5,0,6,6
869,10349,649.0,TOYOTA,Prius,10,9,0,2,1.5,265000,4,0,1,4-5,0,5,12
870,19757,810.0,HYUNDAI,Elantra,4,9,0,5,1.8,113600,4,2,1,>5,0,7,6
871,12858,906.8381278879118,TOYOTA,Prius,13,3,0,2,1.5,176000,4,0,1,4-5,0,1,4
872,11290,586.0,NISSAN,Tiida,8,9,0,5,1.8,60000,4,0,1,4-5,0,12,6
873,44711,891.0,HYUNDAI,Santa FE,4,4,1,1,2,146492,4,0,1,4-5,0,1,4
874,50178,666.0,MERCEDES-BENZ,E 250,6,9,1,5,2.1,94000,4,2,0,4-5,0,1,10
875,30734,2151.0,LEXUS,GX 470,11,4,1,5,4.7,264339,8,0,0,4-5,0,1,0
877,10349,906.8381278879118,TOYOTA,Ist,17,9,0,5,1.3,157000,4,0,1,4-5,1,1,6
878,2666,382.0,FORD,Fusion,5,9,1,2,2,100747,4,0,1,4-5,0,6,0
879,13172,551.0,CHEVROLET,Spark,3,9,1,5,1,33118,4,0,1,4-5,0,14,4
880,13328,1399.0,LEXUS,RX 450,10,4,1,2,3.5,186005,6,0,0,4-5,0,12,12
881,5331,900.0,HONDA,Cr-v,5,4,1,5,2.4,80288,4,0,0,4-5,0,3,12
882,19610,836.0,HYUNDAI,Genesis,10,1,1,5,2,104022,4,0,1,4-5,0,14,4
883,35234,831.0,JEEP,Compass,9,4,1,5,2.4,40056,4,0,1,4-5,0,7,4
884,15053,900.0,HYUNDAI,Sonata,5,9,0,5,2.4,0,4,0,1,4-5,0,12,0
885,32929,906.8381278879118,MITSUBISHI,L 200,13,4,0,1,2.5,135000,4,1,0,4-5,0,14,2
886,21326,586.0,LEXUS,CT 200h,8,3,1,2,1.8,98000,4,0,1,4-5,0,4,10
888,14740,1091.0,FORD,Fusion,4,9,0,5,2.5,41000,4,2,1,4-5,0,7,12
889,41387,1091.0,HYUNDAI,H1,4,7,1,1,2.5,110189,4,0,1,4-5,0,12,4
891,7840,906.8381278879118,FORD,Transit Connect,16,2,0,1,1.8,235000,4,1,1,4-5,0,14,4
892,19444,765.0,SUBARU,XV,5,4,1,5,2,250005,4,0,0,4-5,0,1,0
894,14113,862.0,SUBARU,Forester,9,4,0,5,2.5,118500,4,2,0,4-5,0,7,6
895,10036,1018.0,BMW,X5,9,4,1,1,3,207694,6,0,0,4-5,0,1,0
896,15210,906.8381278879118,FORD,Transit,10,2,0,1,2.2 Turbo,285000,4,1,1,4-5,0,14,2
897,16621,906.8381278879118,TOYOTA,Prius,9,9,0,2,1.8,284800,4,0,1,4-5,0,1,8
898,10663,906.8381278879118,TOYOTA,Prius,12,3,1,2,1.5,212465,4,0,1,4-5,0,3,8
899,13172,1267.0,TOYOTA,Aqua g soft leather sele,7,3,1,2,1.5,130000,4,3,1,4-5,1,11,8
900,7840,906.8381278879118,HONDA,Cr-v,20,4,0,5,2,213000,4,0,0,4-5,1,12,6
901,9408,993.0,OPEL,Meriva,14,3,0,1,1.3,180000,4,1,1,4-5,0,6,8
902,54882,906.8381278879118,TOYOTA,RAV 4,4,4,0,5,2.5,188800,4,0,0,4-5,0,1,4
903,12544,906.8381278879118,NISSAN,Elgrand,21,7,0,5,3.5,150000,6,2,2,4-5,1,0,12
905,8467,906.8381278879118,NISSAN,Tiida,13,3,1,5,1.5,105000,4,3,1,4-5,1,12,4
906,58507,930.0,HYUNDAI,Tucson,2,4,1,1,1.7,29709,4,0,1,4-5,0,1,4
907,53317,595.0,TOYOTA,Aqua,5,3,1,5,1.5,28000,4,0,1,4-5,0,1,4
908,1646,1058.0,MERCEDES-BENZ,E 350,8,9,1,1,3.5,240987,6,0,0,4-5,0,1,12
909,3293,502.0,TOYOTA,Prius,7,3,1,2,1.5,153235,4,0,1,4-5,0,11,12
910,42987,765.0,HYUNDAI,Sonata,5,9,1,5,2,52878,4,0,1,4-5,0,1,4
912,17876,586.0,TOYOTA,Prius V,8,3,1,2,1.8,14136,4,0,1,4-5,0,7,8
913,24462,690.0,CHEVROLET,Malibu,4,9,0,5,1.5 Turbo,73450,4,2,1,4-5,0,14,12
915,9722,906.8381278879118,HONDA,FIT,14,3,0,5,1.5,185000,4,1,1,4-5,1,14,2
916,20266,531.0,HYUNDAI,Elantra,8,9,1,5,1.6,160156,4,0,1,4-5,0,14,4
917,7840,906.8381278879118,KIA,Sorento,17,4,0,5,2.4 Turbo,167000,4,1,0,4-5,0,7,2
918,10036,891.0,HYUNDAI,Sonata,4,9,1,4,2,520461,4,0,1,4-5,0,8,4
919,8781,906.8381278879118,MITSUBISHI,Pajero IO,20,4,0,5,2,158000,4,0,0,4-5,0,14,2
921,8467,906.8381278879118,FORD,Transit Connect,17,2,0,1,1.8,230000,4,1,1,2-3,0,14,4
922,10192,1079.0,BMW,114,2,9,1,5,2,38282,4,0,0,4-5,0,14,12
923,13000,640.0,KIA,Optima,7,9,1,5,2,0,4,2,1,4-5,0,1,0
924,7213,779.0,TOYOTA,Camry,7,9,1,2,2.5,131400,4,0,1,4-5,0,2,12
925,33243,770.0,HYUNDAI,Tucson,4,4,1,1,1.7,110000,4,0,1,4-5,0,7,4
926,8781,906.8381278879118,SUBARU,Forester,18,3,0,4,2.0 Turbo,100000,4,0,0,4-5,1,12,8
927,31831,906.8381278879118,LEXUS,RX 400,12,4,1,2,3.3,175000,6,0,0,4-5,0,1,12
928,40340,971.0,SSANGYONG,REXTON,4,4,1,1,2.2,146978,4,0,1,4-5,0,12,4
929,56509,1079.0,HONDA,Civic,2,9,1,5,2,17741,4,0,1,4-5,0,1,4
931,17923,642.0,CHEVROLET,Malibu,8,9,1,5,2,124590,4,0,1,4-5,0,1,4
932,8938,642.0,FORD,C-MAX,8,3,0,2,2,144000,4,0,1,4-5,0,7,6
933,29793,906.8381278879118,BMW,535,10,9,1,5,3.0 Turbo,179554,6,2,2,4-5,0,7,6
934,3450,607.0,TOYOTA,Camry,1,9,1,2,2.5,9626,4,0,1,4-5,0,1,12
935,6586,906.8381278879118,TOYOTA,Passo,12,3,0,5,1,112000,3,0,1,4-5,1,15,4
936,10349,906.8381278879118,MERCEDES-BENZ,Sprinter,20,6,0,5,3.2,100000,6,1,2,4-5,0,14,1
937,10663,906.8381278879118,BMW,320,19,1,0,1,2.0 Turbo,142000,4,1,2,2-3,0,2,4
938,15210,906.8381278879118,TOYOTA,Aqua,6,3,0,2,1.5,139000,4,3,1,4-5,1,14,2
939,46101,394.0,LEXUS,ES 300,6,9,1,2,2.5,77000,4,0,1,4-5,0,7,12
940,14113,906.8381278879118,FORD,Transit,20,2,0,1,2.5 Turbo,190000,4,1,2,4-5,0,14,6
941,9722,639.0,FORD,Focus,6,9,0,5,2,105000,4,0,1,4-5,0,7,6
942,14426,642.0,KIA,Sportage,8,4,1,1,2.0 Turbo,65000,4,2,1,4-5,0,14,5
943,9252,765.0,HYUNDAI,Sonata,5,9,1,4,2,595426,4,0,1,4-5,0,8,4
944,10036,906.8381278879118,BMW,320 DIESEL,18,9,0,1,2.0 Turbo,280000,4,1,2,4-5,0,1,8
945,10976,906.8381278879118,TOYOTA,Vitz,15,3,0,5,1.5,121000,4,1,1,4-5,1,12,2
946,17249,906.8381278879118,HONDA,Cr-v,15,4,0,5,2.4,118000,4,0,0,4-5,0,12,6
947,34811,690.0,LEXUS,RX 450,4,4,1,2,3.5,0,6,0,1,4-5,0,7,12
949,8467,906.8381278879118,BMW,318 სასწრაფოდ,18,1,1,5,1.8,95000,4,1,2,2-3,0,1,4
950,7840,906.8381278879118,ISUZU,Rodeo,20,4,0,5,3.2,331000,6,0,0,4-5,0,4,6
951,25810,642.0,HYUNDAI,Santa FE,8,4,1,1,2,196764,4,0,1,4-5,0,1,4
953,5175,584.0,TOYOTA,Corolla,6,9,1,5,1.8,196010,4,0,1,4-5,0,12,12
954,3136,781.0,TOYOTA,Camry,8,9,1,2,2.5,159379,4,0,1,4-5,0,14,12
955,15053,906.8381278879118,HONDA,Insight,11,9,0,4,1.3,173102,4,2,1,4-5,0,14,8
956,12074,1273.0,KIA,Sportage,0,9,1,5,2.4,2741,4,0,0,2-3,0,12,12
957,24462,906.8381278879118,AUDI,A5,11,1,1,5,3.2,100000,6,2,0,2-3,0,1,6
958,4500,906.8381278879118,VOLKSWAGEN,Jetta,21,9,1,5,2,252026,4,1,1,4-5,0,1,4
959,40471,891.0,HYUNDAI,Santa FE,4,4,1,1,2,142000,4,0,1,4-5,0,14,4
960,9418,765.0,HYUNDAI,Sonata,5,9,1,4,2,42875,4,0,1,4-5,0,14,4
961,36065,1172.0,BMW,X6,9,4,1,5,3.5 Turbo,208000,6,2,0,4-5,0,1,12
962,31361,1018.0,BMW,X5,9,4,1,1,3,192382,6,0,0,4-5,0,12,0
964,9252,765.0,HYUNDAI,Sonata,5,9,1,4,2,377240,4,0,1,4-5,0,8,4
965,3136,528.0,NISSAN,Versa,6,3,1,5,1.6,72208,4,0,1,4-5,0,1,12
966,10036,639.0,HYUNDAI,Sonata,6,9,1,4,2,430076,4,0,1,4-5,0,12,4
967,14269,906.8381278879118,HONDA,FIT Sport,11,3,0,5,1.5,198000,4,0,1,4-5,0,2,0
968,5018,639.0,AUDI,A4,6,9,1,5,2,81818,4,0,0,4-5,0,2,0
969,19601,777.0,TOYOTA,Camry SE,6,9,1,5,2.5,91468,4,0,1,4-5,0,14,8
970,4704,784.0,FORD,Fusion,3,9,1,5,1.5,74603,4,0,1,4-5,0,1,12
971,17876,831.0,HONDA,Cr-v,9,4,0,5,2.4,120000,4,2,0,4-5,0,7,8
972,16766,584.0,CHEVROLET,Cruze,6,9,1,5,1.8,78296,4,0,1,4-5,0,1,4
974,30734,906.8381278879118,TOYOTA,Camry,7,9,1,2,2.5,65000,4,0,1,4-5,0,1,12
975,7056,790.0,DAEWOO,Lacetti,11,9,1,5,1.6,52020,4,0,1,4-5,0,14,4
976,5018,1624.0,MERCEDES-BENZ,E 350,11,9,1,1,3.5,109139,6,0,2,4-5,0,1,12
977,54458,891.0,HYUNDAI,Santa FE,4,4,1,1,2,105645,4,0,1,4-5,0,14,4
978,23521,585.0,TOYOTA,Prius V,7,7,1,2,1.8,212000,4,3,1,4-5,0,14,10
979,39829,1323.0,TOYOTA,Camry,0,9,1,5,2.5,4130,4,0,1,4-5,0,14,12
980,12513,769.0,KIA,Carnival,9,7,1,1,2.2,100842,4,0,1,4-5,0,14,4
981,9408,906.8381278879118,HONDA,Step Wagon Pada,16,7,0,5,2,330000,4,0,1,2-3,1,14,2
982,11290,2377.0,TOYOTA,Tundra,4,4,1,5,5.7,54875,8,0,2,4-5,0,7,12
983,17249,906.8381278879118,CHEVROLET,Cruze,6,9,0,5,1.4 Turbo,170000,4,1,1,4-5,0,14,10
984,15053,906.8381278879118,TOYOTA,Aqua,7,3,0,2,1.5,186000,4,0,1,4-5,1,12,0
985,2700,906.8381278879118,OPEL,Vectra,23,9,0,0,1.6,777777777,4,0,1,4-5,0,0,2
986,5959,645.0,LEXUS,CT 200h,9,3,1,2,1.8,122302,4,0,1,4-5,0,1,0
987,5488,394.0,TOYOTA,Camry,6,9,1,2,2.5,109798,4,0,1,4-5,0,14,12
988,11274,687.0,HYUNDAI,Elantra,10,9,1,5,1.6,198425,4,0,1,4-5,0,12,4
989,21000,1845.0,VOLKSWAGEN,Jetta,5,9,1,5,1.8,67000,4,2,1,4-5,1,1,12
990,28532,730.0,HYUNDAI,Elantra,4,9,1,5,1.6,94401,4,0,1,4-5,0,14,4
991,18189,900.0,DODGE,Dart GT 2.4,5,9,1,5,2.4,48000,4,0,1,4-5,0,14,4
992,10976,906.8381278879118,TOYOTA,Prius,12,9,1,2,1.5,241885,4,0,1,4-5,0,14,6
993,4704,906.8381278879118,OPEL,Vectra B,24,3,0,5,1.8,260000,4,1,1,4-5,0,6,2
995,12607,503.0,TOYOTA,Aqua,8,3,1,5,1.5,157160,4,0,1,4-5,0,2,4
996,9095,906.8381278879118,HONDA,Cr-v,18,4,1,0,2,187000,4,1,0,4-5,1,12,8
997,3058,1083.0,DODGE,Challenger,7,1,1,5,3.6,232853,6,0,2,2-3,0,1,12
998,6899,906.8381278879118,HONDA,Stream,16,7,0,5,1.7,0,4,0,1,4-5,1,12,4
999,36065,694.0,FORD,Transit,6,6,0,1,2.2 Turbo,142256,4,1,2,4-5,0,14,2
1001,10036,639.0,HYUNDAI,Sonata,6,9,1,4,2,325829,4,0,1,4-5,0,12,4
1003,10986,1047.0,HYUNDAI,Elantra,13,9,1,5,1.6,129080,4,0,1,4-5,0,12,4
1004,6272,906.8381278879118,OPEL,Astra,22,2,0,1,2.0 Turbo,300000,4,1,1,4-5,0,4,4
1006,39829,1811.0,LEXUS,GX 460,10,4,1,5,4.6,155821,8,0,0,4-5,0,1,0
1008,3920,749.0,CHEVROLET,Equinox,6,4,1,5,2.4,179995,4,0,0,4-5,0,2,12
1009,9879,463.0,TOYOTA,Prius,2,9,1,2,1.8,0,4,0,1,4-5,0,1,12
1010,3450,900.0,ACURA,TLX,5,9,1,5,2.4,83099,4,0,1,4-5,0,1,12
1011,15681,906.8381278879118,TOYOTA,Ist,9,3,0,5,1.8,99000,4,0,1,4-5,0,14,0
1012,29087,777.0,HYUNDAI,H1,6,7,1,1,2.5,152000,4,0,1,4-5,0,1,4
1013,3607,862.0,FORD,Escape,9,4,1,2,2.5,168966,4,0,0,4-5,0,14,0
1014,10349,915.0,BMW,X5,6,4,1,1,3,0,6,0,0,4-5,0,1,0
1015,22357,707.0,SSANGYONG,Actyon,9,4,1,1,2,127654,4,0,1,4-5,0,12,4
1016,31988,1935.0,LEXUS,GX 460,4,4,1,5,4.6,155976,8,0,0,4-5,0,14,0
1018,15470,419.0,NISSAN,March,7,3,1,5,1.2,46000,4,0,1,4-5,0,1,4
1019,97219,1646.0,LEXUS,GX 460,5,4,1,5,4.6,44808,8,2,0,4-5,0,12,10
1020,19974,531.0,HYUNDAI,Elantra,8,9,1,5,1.6,144757,4,0,1,4-5,0,7,4
1021,15681,586.0,HYUNDAI,Elantra,8,9,0,5,1.8,111104,4,0,1,4-5,0,12,0
1022,3000,906.8381278879118,MERCEDES-BENZ,E 230,23,9,0,5,2.2,111111,4,1,2,4-5,0,7,0
1023,14113,475.0,CHEVROLET,Cruze,8,9,0,5,1.4 Turbo,156800,4,0,1,4-5,0,11,8
1024,18776,629.0,HYUNDAI,Elantra,5,9,1,1,1.6,51895,4,0,1,4-5,0,12,4
1025,4861,333.0,FORD,Fusion,6,9,1,2,2,124493,4,0,1,4-5,0,14,0
1026,6272,1360.0,LEXUS,GX 470,7,4,1,5,4.6,202651,8,0,0,4-5,0,1,0
1027,131716,906.8381278879118,TOYOTA,Land Cruiser Prado,2,4,1,1,3.0 Turbo,59826,4,0,0,4-5,0,1,12
1028,19121,583.0,HYUNDAI,Elantra,9,9,1,5,1.6,132742,4,0,1,4-5,0,12,4
1029,43576,730.0,SSANGYONG,Actyon,4,4,1,1,1.6,33261,4,0,1,4-5,0,14,4
1030,33243,906.8381278879118,AUDI,A3 PREMIUM,5,9,1,5,1.8 Turbo,38000,4,2,1,4-5,0,7,10
1031,12544,345.0,TOYOTA,Prius,4,9,1,2,1.5,296104,4,0,1,4-5,0,1,12
1033,7213,1515.0,FORD,Tourneo Connect,15,10,0,1,1.8 Turbo,0,8,1,1,4-5,0,14,4
1034,13799,490.0,HONDA,Insight,9,9,0,2,1.3,144000,4,2,1,4-5,0,2,10
1035,19874,642.0,SSANGYONG,Korando,8,4,1,1,2,179828,4,0,1,4-5,0,14,4
1036,21953,353.0,TOYOTA,Prius,5,3,1,2,1.8,57000,4,3,1,4-5,0,1,9
1038,18503,1505.0,TOYOTA,Prius,8,9,0,2,1.8,176000,4,0,1,4-5,1,12,10
1039,6586,906.8381278879118,MITSUBISHI,Outlander,17,4,0,0,2.4,156564,4,0,0,4-5,0,2,4
1041,1333,831.0,HYUNDAI,Sonata,9,9,1,2,2.4,142741,4,0,1,4-5,0,12,0
1042,12544,765.0,HYUNDAI,Sonata,5,9,1,4,2,609333,4,0,1,4-5,0,8,4
1043,45473,906.8381278879118,HYUNDAI,kona,2,4,0,5,2,1300,4,2,1,4-5,0,14,8
1044,13000,2056.0,LEXUS,IS 250,8,9,1,5,2.5,43000,4,0,1,4-5,1,1,6
1045,9722,1079.0,TOYOTA,CHR,2,4,1,5,2,38712,4,0,1,4-5,0,14,12
1046,17249,906.8381278879118,CHEVROLET,Cruze LTZ,9,9,1,1,2.0 Turbo,126000,4,2,1,4-5,0,14,6
1048,14113,906.8381278879118,TOYOTA,Prius,9,9,0,2,1.8,0,4,0,1,4-5,0,11,12
1049,13015,585.0,HYUNDAI,Elantra,7,9,0,5,1.8,78024,4,2,1,4-5,0,7,6
1052,18503,906.8381278879118,HYUNDAI,Sonata,9,9,1,4,2,89000,4,0,1,4-5,0,12,12
1053,10036,639.0,HYUNDAI,Sonata,6,9,1,4,2,793967,4,0,1,4-5,0,12,4
1054,3607,781.0,TOYOTA,Camry,8,9,1,2,2.5,156518,4,0,1,4-5,0,14,12
1055,18531,583.0,HYUNDAI,Elantra,9,9,1,5,1.6,89323,4,0,1,4-5,0,12,4
1056,45473,906.8381278879118,MERCEDES-BENZ,Sprinter,12,6,1,1,2.3 Turbo,12000,4,1,2,2-3,0,14,2
1057,18503,730.0,HYUNDAI,Elantra,4,9,1,4,1.6,31006,4,0,1,4-5,0,14,4
1058,45473,1325.0,TOYOTA,Camry,1,9,1,5,2.5,17300,4,2,1,4-5,0,1,12
1059,26657,751.0,HYUNDAI,Sonata,7,9,1,5,2.4,127355,4,0,1,4-5,0,1,0
1060,4547,1017.0,HYUNDAI,Elantra,3,9,1,5,2,115974,4,0,1,4-5,0,14,12
1061,11290,891.0,HYUNDAI,Sonata,4,9,1,4,2,363661,4,0,1,4-5,0,12,4
1062,10349,781.0,VOLKSWAGEN,Passat,8,9,1,5,2.5,185600,6,2,1,4-5,0,4,8
1063,14113,503.0,TOYOTA,Prius C,8,3,0,2,1.5,206000,4,3,1,4-5,0,14,4
1064,14740,906.8381278879118,MERCEDES-BENZ,CLK 320 AMG,16,1,1,5,3.2,226000,6,2,2,2-3,0,1,10
1065,14113,584.0,HYUNDAI,Elantra,6,9,0,5,1.8,176000,4,0,1,4-5,0,5,6
1066,9722,906.8381278879118,NISSAN,Tiida,15,3,1,5,1.5,165000,4,0,1,4-5,1,1,2
1067,12541,729.0,CHEVROLET,Cruze,4,9,1,1,1.6,32986,4,0,1,4-5,0,12,4
1068,14500,707.0,KIA,Optima,9,9,1,5,2,0,4,2,1,4-5,0,7,0
1069,29166,906.8381278879118,BMW,328,6,9,1,5,2.0 Turbo,23302,4,2,2,4-5,0,14,4
1070,11604,906.8381278879118,BMW,730 3.0,18,9,1,1,3.0 Turbo,300000,8,0,2,4-5,0,12,8
1071,2901,640.0,KIA,Optima,7,9,1,5,2,142661,4,0,1,4-5,0,12,12
1073,10506,906.8381278879118,TOYOTA,ISIS,13,7,1,0,2,0,4,2,1,4-5,1,1,4
1074,36379,906.8381278879118,TOYOTA,Camry,4,9,1,5,2.5,38400,4,2,1,4-5,0,1,6
1075,14113,906.8381278879118,MERCEDES-BENZ,C 180,20,9,1,5,1.8,65865,4,1,2,4-5,0,7,6
1076,37633,906.8381278879118,BMW,X6,11,4,1,5,4.8 Turbo,85000,8,2,0,4-5,0,1,12
1077,26196,1024.0,HYUNDAI,H1,10,7,1,1,2.5,45780,4,0,1,4-5,0,1,4
1079,18503,906.8381278879118,HONDA,Insight,6,3,0,2,1.3,77000,4,0,1,4-5,0,14,8
1080,5802,460.0,CHEVROLET,Matiz,10,9,1,5,1,130089,4,0,1,4-5,0,1,4
1081,5370,906.8381278879118,MITSUBISHI,Colt,17,9,0,5,1.5,175000,4,3,1,4-5,1,1,2
1082,36065,891.0,BMW,328,4,9,1,5,2.0 Turbo,32000,4,0,2,4-5,0,1,10
1083,65858,1356.0,MERCEDES-BENZ,S 550,6,9,1,5,4.6 Turbo,65000,8,2,0,>5,0,1,10
1085,5488,394.0,TOYOTA,Camry,6,9,1,2,2.5,109798,4,0,1,4-5,0,14,12
1086,1019,1935.0,DODGE,RAM,6,8,1,1,6.7,367053,6,0,1,4-5,0,14,12
1087,11133,1079.0,HYUNDAI,Elantra,2,9,1,5,2,40122,4,0,1,4-5,0,7,12
1088,14821,836.0,SSANGYONG,Actyon,10,9,1,1,2,152937,4,0,1,4-5,0,11,4
1089,7066,876.0,CHEVROLET,Cruze,11,9,1,5,1.8,67293,4,0,1,4-5,0,14,4
1090,66482,784.0,HONDA,Civic,3,1,1,5,1.5,16639,4,0,1,4-5,0,11,4
1091,10976,911.0,HYUNDAI,Santa FE,10,4,1,1,2.2,91393,4,0,1,4-5,0,12,4
1092,8154,906.8381278879118,OPEL,Astra,21,10,0,0,1.6,21000,4,1,1,4-5,0,1,4
1093,10036,639.0,HYUNDAI,Sonata,6,9,1,4,2,374141,4,0,1,4-5,0,12,4
1094,15681,906.8381278879118,HYUNDAI,Veloster,9,3,0,5,1.6,72000,4,2,1,2-3,0,8,12
1095,25264,753.0,JEEP,Compass,8,4,1,5,2.4,65731,4,0,1,4-5,0,11,4
1097,6586,1190.0,TOYOTA,Tacoma,6,9,1,5,4,0,6,0,2,4-5,0,12,12
1098,8154,906.8381278879118,MERCEDES-BENZ,E 230,22,9,1,0,2.3,200000,4,0,2,4-5,0,6,4
1099,19444,906.8381278879118,TOYOTA,Prius,10,3,1,2,1.8,197000,4,0,1,4-5,0,2,6
1100,15053,906.8381278879118,TOYOTA,Aqua,8,3,0,2,1.5,161000,4,0,1,4-5,1,2,2
1101,11000,906.8381278879118,TOYOTA,Prius,12,3,0,2,1.5,182000,2,0,1,4-5,0,3,6
